Zaman,Enlem,Boylam,Kategori
1678935540,38.4062,27.2185,Az
1678935600,38.4466,27.185,Orta
1678935660,38.4312,27.1897,Az
1678935720,38.4219,27.2339,Az
1678935780,38.3909,27.2164,Orta
1678935840,38.3909,27.1806,Az
1678935900,38.3841,27.1861,Orta
1678935960,38.4406,27.2198,Az
1678936020,38.4221,27.1803,Cok
1678936080,38.4296,27.1896,Cok
1678936140,38.3814,27.2129,Az
1678936200,38.4479,27.2215,Az
1678936260,38.4383,27.2191,Az
1678936320,38.3949,27.1935,Cok
1678936380,38.3927,27.2227,Az
1678936440,38.3928,27.1942,Cok
1678936500,38.4013,27.1995,Orta
1678936560,38.4167,27.2248,Cok
1678936620,38.4102,27.219,Cok
1678936680,38.4004,27.231,Orta
1678936740,38.4228,27.2195,Cok
1678936800,38.3898,27.2141,Az
1678936860,38.4005,27.1856,Az
1678936920,38.4056,27.2021,Cok
1678936980,38.4119,27.1959,Az
1678937040,38.435,27.1946,Cok
1678937100,38.394,27.2384,Az
1678937160,38.416,27.2036,Az
1678937220,38.4215,27.2335,Cok
1678937280,38.3833,27.2179,Az
1678937340,38.4225,27.2277,Cok
1678937400,38.3919,27.2102,Az
1678937460,38.3846,27.2146,Az
1678937520,38.4464,27.2096,Orta
1678937580,38.4476,27.1917,Orta
1678937640,38.4366,27.2233,Cok
1678937700,38.4013,27.1968,Orta
1678937760,38.3868,27.1815,Cok
1678937820,38.4279,27.2187,Orta
1678937880,38.4108,27.1906,Az
1678937940,38.3885,27.2364,Cok
1678938000,38.4147,27.2372,Cok
1678938060,38.3824,27.2349,Az
1678938120,38.4437,27.2022,Cok
1678938180,38.3981,27.1809,Cok
1678938240,38.4264,27.2357,Orta
1678938300,38.4018,27.2057,Cok
1678938360,38.4164,27.238,Az
1678938420,38.4183,27.2378,Orta
1678938480,38.3929,27.2312,Orta
1678938540,38.4479,27.1977,Az
1678938600,38.4343,27.2031,Az
1678938660,38.4458,27.2311,Orta
1678938720,38.4426,27.199,Cok
1678938780,38.4219,27.1902,Orta
1678938840,38.4445,27.2134,Az
1678938900,38.3862,27.2362,Orta
1678938960,38.3937,27.2218,Az
1678939020,38.3832,27.2142,Orta
1678939080,38.4028,27.1858,Cok
1678939140,38.4072,27.2169,Orta
1678939200,38.399,27.2394,Orta
1678939260,38.438,27.1884,Az
1678939320,38.405,27.2111,Az
1678939380,38.3997,27.2326,Az
1678939440,38.418,27.2244,Orta
1678939500,38.3899,27.2218,Cok
1678939560,38.4362,27.2221,Az
